"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.326780958E0,1.073387878E1,5.147795105E-1,-2.421514435E0
4.346889958E0,9.231902161E0,-7.307803345E-1,-3.873794403E0
4.366998958E0,1.126841721E1,-2.294728088E0,-5.382207642E0
4.387107958E0,1.252834717E1,-3.555107117E-1,-7.453600159E0
4.407216958E0,8.947194214E0,-1.483265533E0,-7.455845490E0
4.427325958E0,6.145620117E0,-3.829935608E0,-5.122946777E0
4.447434958E0,6.256389771E0,-5.337750092E0,-2.555635529E0
4.467543958E0,7.342381439E0,-4.665498047E0,-1.485510864E0
4.487652958E0,9.126670990E0,-1.885778503E0,-2.606080627E0
4.507761958E0,1.104208786E1,5.924679565E-1,-4.274960175E0
4.527871958E0,1.099284027E1,1.908381500E0,-5.002746735E0
4.547980958E0,9.476493530E0,1.622625732E0,-4.831951904E0
4.568089958E0,7.948920135E0,1.160087585E0,-3.961811371E0
4.588198958E0,6.934629364E0,-7.125183105E-2,-2.675536194E0
4.608307792E0,6.665339355E0,-1.462458801E0,-1.647773438E0
4.628416792E0,6.706503754E0,-2.179916840E0,-8.846603394E-1
4.648525792E0,7.395670624E0,-2.129471741E0,-7.253915405E-1
4.668634792E0,8.186925201E0,-1.594933319E0,-1.082548828E0
4.688743792E0,9.058263245E0,-9.770182800E-1,-1.631157990E0
4.708852792E0,9.712852020E0,-3.109034729E-1,-2.278861084E0
4.728961792E0,9.998607788E0,-1.089733887E-1,-2.721790009E0
4.749071792E0,1.033211426E1,-2.023791504E-1,-2.695744171E0
4.769180792E0,1.084794159E1,-4.340972900E-2,-2.226619720E0
4.789289792E0,1.075752960E1,1.574725342E-1,-1.933828583E0
4.809398792E0,1.045605652E1,-7.646099854E-1,-2.481240234E0
4.829507792E0,1.106109833E1,-2.375559998E0,-1.711690521E0
4.849616792E0,1.152677994E1,-2.243085480E0,-7.619155884E-2
4.869725792E0,1.144564865E1,-1.457369385E0,3.508703613E-1
4.889834792E0,1.149803970E1,-1.025517426E0,-1.100062408E0
4.909943792E0,1.061652283E1,-1.747017059E0,-3.516038361E0
4.930052792E0,1.265408569E1,-2.500101013E0,-4.633314972E0
4.950161792E0,1.096155533E1,-3.515289917E0,-5.435945892E0
4.970270792E0,7.351362762E0,-3.391647034E0,-5.575755157E0
4.990380792E0,5.497617645E0,-1.993704071E0,-6.281836853E0
5.010489792E0,5.585185547E0,1.215472412E-1,-6.107748871E0
5.030598792E0,6.577172699E0,1.138831787E0,-5.161117401E0
5.050707792E0,8.378975830E0,2.164498901E-1,-4.835993500E0
5.070816792E0,9.566606140E0,-1.533710632E0,-4.371210022E0
5.090925792E0,1.024394760E1,-3.181783447E0,-3.310515747E0
5.111034792E0,1.051518356E1,-4.099375305E0,-2.777324524E0
5.131143792E0,9.296118622E0,-3.105891266E0,-2.528541870E0
5.151252792E0,7.523953857E0,-1.055155792E0,-2.455942841E0
5.171361792E0,6.442901917E0,3.770658875E-1,-2.659818878E0
5.191470792E0,6.189329224E0,1.152303772E0,-3.313210144E0
5.211580792E0,6.706354065E0,1.894011383E0,-3.691772919E0
5.231689792E0,7.343578949E0,2.343825989E0,-3.613485718E0
5.251798792E0,8.265811157E0,2.235900421E0,-3.471730499E0
5.271907792E0,8.944200439E0,2.134710846E0,-3.567531281E0
5.292016792E0,9.098828888E0,1.701960754E0,-3.519630890E0
5.312125792E0,9.044491882E0,1.002914429E0,-3.275338898E0
5.332234792E0,9.167536011E0,5.978567505E-1,-3.043770447E0
5.352343792E0,9.466763763E0,4.692741394E-1,-2.847378845E0
5.372452792E0,9.733509064E0,5.110372925E-1,-3.220403137E0
5.392561792E0,1.024394760E1,1.050814819E0,-3.916455688E0
5.412670792E0,1.121153549E1,2.064506836E0,-3.989503784E0
5.432780792E0,1.197015793E1,2.368524628E0,-3.497027893E0
5.452889792E0,1.201042419E1,1.809736633E0,-3.218307495E0
5.472998792E0,1.072639435E1,4.794529724E-1,-4.338877258E0
5.493107792E0,1.158426041E1,-1.185384979E0,-5.212610321E0
5.513216792E0,1.207823318E1,-4.385879517E-2,-5.896538086E0
5.533325792E0,1.004052063E1,6.343807983E-1,-5.842650146E0
5.553434792E0,7.216193848E0,-1.564995575E0,-5.975424042E0
5.573543792E0,6.319708099E0,-4.317621460E0,-4.999004517E0
5.593652792E0,6.807244263E0,-6.055357819E0,-2.861299896E0
5.613761792E0,8.171207886E0,-5.395380249E0,-1.513951721E0
5.633870792E0,9.501491547E0,-2.209405518E0,-1.884131927E0
5.653980792E0,1.087922653E1,-5.673202515E-2,-3.466491394E0
5.674089792E0,1.075498489E1,1.617536316E0,-5.024301910E0
5.694198792E0,9.398505707E0,2.842588806E0,-5.579796753E0
5.714307792E0,8.044421539E0,2.614163818E0,-4.837789764E0
5.734416792E0,7.150480499E0,5.833369446E-1,-3.523373108E0
5.754525792E0,6.505471802E0,-1.200802917E0,-2.320624237E0
5.774634792E0,6.312972107E0,-2.265389099E0,-1.751208344E0
5.794743792E0,6.830446014E0,-2.663411407E0,-1.508562927E0
5.814852792E0,7.674690399E0,-2.153721313E0,-1.600920868E0
5.834961792E0,8.368048553E0,-1.358574829E0,-2.037712555E0
5.855070792E0,8.994645538E0,-7.408094788E-1,-2.631976776E0
5.875180792E0,9.660311279E0,-3.890409851E-1,-3.029250641E0
5.895289792E0,1.018990997E1,-2.418969727E-1,-3.074756012E0
5.915398792E0,1.044677582E1,-2.339634705E-1,-2.953059082E0
5.935507792E0,1.044303360E1,-3.522175598E-1,-3.005899200E0
5.955616792E0,1.052102142E1,-7.074288940E-1,-3.159928894E0
5.975725792E0,1.080782501E1,-1.266665955E0,-2.339035950E0
5.995834792E0,1.127620102E1,-1.350940704E0,-8.298742676E-1
6.015943792E0,1.162258072E1,-6.791377258E-1,-2.857557678E-1
6.036052792E0,1.150238068E1,1.694476318E-1,-1.673070831E0
6.056161792E0,1.140298737E1,-6.572831726E-1,-5.375621338E0
6.076270792E0,1.311303131E1,-1.653461609E0,-6.718628540E0
6.096380792E0,1.045515839E1,-3.390898590E0,-5.934259644E0
6.116489792E0,7.262148285E0,-3.067271576E0,-5.585484924E0
6.136598792E0,5.307962036E0,-1.172661438E0,-6.251000977E0
6.156707792E0,5.261259155E0,1.135239258E0,-6.648274841E0
6.176816792E0,6.211034088E0,2.480192413E0,-5.839057617E0
6.196925792E0,7.815996552E0,1.672771454E0,-5.550457764E0
6.217034792E0,9.418713684E0,-8.741821289E-1,-5.384452972E0
6.237143792E0,9.657317505E0,-3.306623840E0,-3.880829773E0
6.257252792E0,9.411079559E0,-4.537514191E0,-2.199076996E0
6.277361792E0,8.414751434E0,-3.797602844E0,-1.938019867E0
6.297471792E0,6.855444031E0,-1.773961029E0,-2.326911163E0
6.317580792E0,5.922583923E0,4.207749939E-1,-2.872376862E0
6.337689792E0,6.124364319E0,1.636546783E0,-3.567381592E0
6.357798792E0,6.666237488E0,2.227368164E0,-4.146976318E0
6.377907792E0,7.286697235E0,2.091899872E0,-4.220623169E0
6.398016792E0,8.198900299E0,1.123862915E0,-4.228556671E0
6.418125792E0,9.073232117E0,5.081932068E-1,-4.095184021E0
6.438234792E0,9.553583221E0,1.013392639E-1,-3.753594360E0
6.458343792E0,9.733209686E0,-2.751278687E-1,-3.364852753E0
6.478452792E0,9.996212769E0,-3.667373657E-1,-3.135829010E0
6.498562792E0,1.034678375E1,-1.749861145E-1,-3.241060181E0
6.518671792E0,1.048629364E1,4.875361633E-1,-3.626358948E0
6.538780792E0,1.032687515E1,1.880689087E0,-4.078867950E0
6.558889792E0,1.052835617E1,3.111729126E0,-3.861070862E0
6.578998792E0,1.101170105E1,3.536695404E0,-3.055895233E0
6.599108208E0,1.134984787E1,2.421065369E0,-2.523302765E0
6.619217208E0,1.050530411E1,6.098318481E-1,-3.576961670E0
6.639326208E0,1.098760117E1,-1.473086700E0,-5.689219208E0
6.659435208E0,1.070918015E1,-1.792223053E0,-6.856342163E0
6.679544208E0,9.218130798E0,-1.202599182E0,-6.983577576E0
6.699654208E0,7.309898987E0,-3.492986298E0,-5.447172546E0
6.719763208E0,6.978338470E0,-5.186115417E0,-3.424877930E0
6.739872208E0,7.910300446E0,-5.393733673E0,-2.360890503E0
6.759981208E0,9.003327484E0,-3.437302094E0,-2.553988953E0
6.780090208E0,1.028705795E1,-1.488504639E0,-3.575315094E0
6.800199208E0,1.079480209E1,3.833528137E-1,-4.834646301E0
6.820308208E0,9.488618317E0,1.835782471E0,-5.073250122E0
6.840417208E0,8.024662628E0,2.170486450E0,-4.613705750E0
6.860526208E0,6.884483643E0,1.246008911E0,-4.129013672E0
6.880635208E0,6.407276001E0,-1.993853760E-1,-3.538791046E0
6.900745208E0,6.516848145E0,-1.706451416E0,-2.567311249E0
6.920854208E0,7.124734039E0,-2.334844666E0,-1.801204376E0
6.940963208E0,8.182135162E0,-2.248623962E0,-1.503323822E0
6.961072208E0,8.860674133E0,-1.722168732E0,-1.832639008E0
6.981181208E0,8.978030090E0,-1.194665680E0,-2.424059143E0
7.001290208E0,9.246421967E0,-6.810836792E-1,-3.049458618E0
7.021399208E0,9.449699249E0,-2.601589966E-1,-3.194806366E0
7.041508208E0,9.880204010E0,4.790039062E-3,-2.973716125E0
7.061617208E0,1.038884628E1,1.877096558E-1,-2.737956390E0
7.081726208E0,1.066008224E1,2.923420715E-1,-2.613265686E0
7.101836208E0,1.084150497E1,-2.535726929E-1,-2.902015228E0
7.121945208E0,1.113758926E1,-1.127006378E0,-2.278861084E0
7.142054208E0,1.131347351E1,-9.876461792E-1,-7.171586609E-1
7.162163208E0,1.120674545E1,-2.341131592E-1,-9.610015869E-2
7.182272208E0,1.010803024E1,-8.867559814E-1,-3.545227661E0
7.202381208E0,1.273880951E1,-1.838626556E0,-5.516628113E0
7.222490208E0,1.299911819E1,-4.080364838E0,-6.435716858E0
7.242599208E0,9.169931030E0,-4.099824371E0,-6.401438141E0
7.262708208E0,6.267616425E0,-2.363584900E0,-6.013444977E0
7.282818208E0,4.766987000E0,-1.826202393E-1,-6.305637360E0
7.302927208E0,5.250631256E0,1.579216003E0,-5.771997070E0
7.323036208E0,6.409221954E0,2.140548706E0,-5.390141144E0
7.343145208E0,8.779393158E0,5.740562439E-1,-5.692063293E0
7.363254208E0,9.772577820E0,-1.653311920E0,-4.746629333E0
7.383363208E0,1.001133133E1,-3.553460541E0,-3.355122986E0
7.403472208E0,9.649084625E0,-4.167483673E0,-2.549198914E0
7.423581208E0,8.466843109E0,-3.061433716E0,-2.392325134E0
7.443691208E0,7.134314117E0,-1.091230774E0,-2.781066742E0
7.463800208E0,6.503226471E0,3.610491943E-1,-3.427871704E0
7.483909208E0,6.761439514E0,1.175954590E0,-4.171225891E0
7.504018208E0,7.198680267E0,1.945204926E0,-4.427343292E0
7.524127208E0,7.549999695E0,1.639390869E0,-4.368964691E0
7.544236208E0,8.039930878E0,7.473957825E-1,-4.346361694E0
7.564345208E0,8.475375366E0,1.707948303E-1,-4.064946899E0
7.584454208E0,8.829987946E0,-3.233276367E-1,-3.622167664E0
7.604567542E0,9.094338226E0,-6.405180359E-1,-3.448828125E0
7.624676542E0,9.625284119E0,-7.032376099E-1,-3.301833801E0
7.644785542E0,1.020143600E1,-2.535726929E-1,-3.224295044E0
7.664894542E0,1.045201492E1,5.614823914E-1,-3.376378784E0
7.685003542E0,1.063658112E1,1.624122620E0,-3.700305176E0
7.705112542E0,1.062924637E1,2.499202881E0,-3.643124084E0
7.725221542E0,1.073163345E1,2.954555969E0,-3.212319946E0
7.745331542E0,1.095571747E1,2.705324249E0,-2.936593323E0
7.765440542E0,1.017194733E1,1.488504639E0,-3.665577393E0
7.785549542E0,1.074884766E1,9.879455566E-2,-5.130880280E0
7.805658542E0,1.130539032E1,-3.830534363E-1,-5.857319641E0
7.825767542E0,1.003453308E1,1.874102783E-1,-6.667584686E0
7.845876542E0,7.904312897E0,-1.788181458E0,-6.576873322E0
7.865985542E0,6.797664185E0,-4.274660797E0,-5.375321960E0
7.886095542E0,7.167395325E0,-5.948180695E0,-2.903811493E0
7.906204542E0,8.084687805E0,-5.501060486E0,-1.653162231E0
7.926313542E0,9.082363129E0,-2.636617126E0,-2.176623688E0
7.946422542E0,1.061981598E1,-4.020639038E-1,-3.768862610E0
7.966531542E0,1.110480743E1,1.557211761E0,-5.058580627E0
7.986640542E0,9.761201477E0,2.889890442E0,-5.335654449E0
8.006749542E0,8.151598663E0,2.518063660E0,-5.010081482E0
8.026859542E0,7.157515869E0,8.801696777E-1,-4.262086945E0
8.046968542E0,6.780449982E0,-1.122366028E0,-3.247945862E0
8.067077542E0,6.457122345E0,-2.136357422E0,-2.273771667E0
8.087186542E0,6.903643799E0,-2.651136932E0,-1.579066315E0
8.107295542E0,7.716603241E0,-2.328557739E0,-1.442400513E0
8.127404542E0,8.362210693E0,-1.656754761E0,-1.913620605E0
