"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.995252333E0,1.151345764E1,-1.709445190E-1,7.008425903E-1
6.015361333E0,1.246697479E1,-9.120533752E-1,-1.915416870E0
6.035470333E0,1.356688751E1,-1.064735870E0,-4.379293213E0
6.055579333E0,1.365235977E1,-7.192543030E-1,-4.666695557E0
6.075688333E0,1.086276077E1,-1.291514282E0,-4.373305664E0
6.095797333E0,8.383017426E0,-3.171155548E0,-2.054477692E0
6.115906333E0,7.462880859E0,-5.301675110E0,5.032534790E-1
6.136015333E0,8.261919250E0,-5.049449615E0,4.852908325E-1
6.156123333E0,1.015383499E1,-2.396366730E0,-4.179309082E-1
6.176232333E0,1.176373718E1,7.664062500E-2,-4.903802490E-1
6.196341333E0,1.186642365E1,1.714534607E0,-1.019230499E0
6.216450333E0,1.140119110E1,1.856439514E0,-1.574725342E0
6.236559333E0,1.071920929E1,2.423460388E-1,-2.040856018E0
6.256668333E0,9.236093445E0,-1.850302277E0,-2.210153961E0
6.276777333E0,7.538323975E0,-2.903961182E0,-1.731748810E0
6.296886333E0,6.434818726E0,-3.403173065E0,-7.439529419E-1
6.316995333E0,6.229595490E0,-3.532653809E0,3.659889221E-1
6.337104333E0,6.719227295E0,-3.588936768E0,1.020877075E0
6.357213333E0,7.521858215E0,-3.356320496E0,8.954379272E-1
6.377322333E0,8.296497345E0,-2.988984375E0,4.308041382E-1
6.397431333E0,8.780141602E0,-2.369722137E0,5.957611084E-2
6.417540083E0,8.727900238E0,-1.692230988E0,-6.780899048E-2
6.437649083E0,8.684041443E0,-9.252259827E-1,9.774673462E-2
6.457758083E0,9.170679474E0,-5.828878784E-1,5.834866333E-1
6.477867083E0,9.641899567E0,-7.957452393E-1,9.737251282E-1
6.497975083E0,1.023092468E1,-1.215173035E0,1.035845947E0
6.518084083E0,1.047342041E1,-1.413360901E0,8.595126343E-1
6.538193083E0,1.051563263E1,-1.452878723E0,1.038390656E0
6.558302083E0,1.041833496E1,-1.168769531E0,1.289867706E0
6.578411083E0,1.025113266E1,-8.434959412E-1,1.906884613E0
6.598520083E0,1.054781570E1,-2.404000854E-1,2.824626160E0
6.618629083E0,1.087204147E1,2.224374390E-1,3.031196594E0
