"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.067309708E0,1.757387042E0,-8.336072415E-2,-6.360173225E-2
4.087418708E0,2.017557621E0,-4.472499192E-1,1.254464984E-1
4.107527708E0,2.033207417E0,-8.421946168E-1,2.274672687E-1
4.127636708E0,2.171298027E0,-6.195858717E-1,1.062683482E-2
4.147744708E0,2.231234312E0,1.101308167E-1,-2.453876585E-1
4.167853708E0,1.998035669E0,4.548934996E-1,-3.549859822E-1
4.187962708E0,1.739298940E0,1.108877361E-1,-4.387844205E-1
4.208071708E0,1.609462619E0,-6.129358411E-1,-3.995035291E-1
4.228180708E0,1.530841231E0,-8.516451716E-1,-3.653208911E-1
4.248289708E0,1.639268637E0,-6.716806293E-1,-3.408280909E-1
4.268398708E0,1.851796508E0,-5.241773725E-1,-3.235760331E-1
4.288507708E0,2.007323027E0,-3.516215980E-1,-3.464292884E-1
4.308616708E0,2.024462223E0,-2.157424092E-1,-3.873911202E-1
4.328725708E0,1.945063591E0,-2.218331546E-1,-4.197021425E-1
4.348833708E0,1.830273390E0,-2.969581187E-1,-3.728732169E-1
4.368942708E0,1.734270096E0,-3.794950247E-1,-2.663251758E-1
4.389051708E0,1.594898224E0,-5.113933086E-1,-1.124100685E-1
4.409160708E0,1.434494615E0,-5.845832825E-1,1.434335392E-2
4.429271000E0,1.297230363E0,-6.103259921E-1,6.555124372E-2
4.449380000E0,1.194225788E0,-5.863187909E-1,3.975489736E-2
4.469489000E0,1.154503107E0,-4.520584345E-1,-1.757284254E-2
4.489598000E0,1.138491988E0,-2.859608233E-1,-3.414728865E-2
4.509707000E0,1.104011178E0,-1.352282315E-1,-2.668008022E-2
4.529816000E0,1.013580322E0,-8.670630306E-2,-7.721958682E-3
4.549924000E0,8.626773357E-1,-1.243018135E-1,4.987195134E-2
4.570033000E0,7.056089640E-1,-2.037105709E-1,9.575228393E-2
4.590142000E0,5.569704771E-1,-2.731262445E-1,1.180863008E-1
4.610251000E0,4.241375327E-1,-3.549693227E-1,1.312750727E-1
4.630360000E0,3.039931953E-1,-3.725617826E-1,1.492651552E-1
4.650469000E0,2.145588547E-1,-3.172273636E-1,1.590694487E-1
4.670578000E0,1.670373231E-1,-1.846679896E-1,1.612140536E-1
4.690687000E0,1.902984232E-1,-2.327572182E-2,1.519711167E-1
4.710796000E0,2.593034804E-1,1.180337518E-1,1.065407023E-1
4.730905000E0,3.337996900E-1,2.000052035E-1,-1.202893071E-2
4.751014000E0,3.549821377E-1,1.286612451E-1,-1.731186360E-1
4.771122000E0,2.844339311E-1,-9.255099297E-2,-2.544852495E-1
