"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.366426583E0,3.117323220E-1,-1.474125385E-1,6.473444104E-1
3.386541583E0,3.604537547E-1,1.236500069E-1,6.851058006E-1
3.406655583E0,3.377003074E-1,2.512071133E-1,5.531482697E-1
3.426770583E0,4.021007419E-1,7.045502961E-2,2.724589407E-1
3.446884583E0,6.129223108E-1,-3.973908424E-1,-7.502941042E-2
3.466998583E0,8.387778401E-1,-6.219407320E-1,-3.192334175E-1
3.487113583E0,9.051325917E-1,-6.607097387E-1,-3.725605607E-1
3.507227583E0,7.701273561E-1,-5.000920892E-1,-3.128075004E-1
3.527341583E0,4.498257339E-1,-2.184912562E-1,-2.185792327E-1
3.547456583E0,1.037687585E-1,6.178337336E-2,-7.027383149E-2
3.567570583E0,-1.612470597E-1,2.168220878E-1,2.782142907E-2
3.587684583E0,-3.307543695E-1,1.679793596E-1,2.221990936E-2
3.607799583E0,-3.955515921E-1,6.650142372E-2,-3.548712656E-2
3.627913583E0,-4.052337408E-1,-2.225560322E-2,-8.501469344E-2
3.648028583E0,-3.876138330E-1,-1.251686066E-1,-1.078073308E-1
3.668142583E0,-4.065395296E-1,-2.319518477E-1,-5.712209642E-2
3.688256583E0,-4.692128897E-1,-3.474297225E-1,1.131736487E-1
3.708371583E0,-5.256489515E-1,-3.242258728E-1,3.279999495E-1
3.728485583E0,-5.196494460E-1,-1.877006292E-1,4.522906542E-1
3.748599583E0,-4.623569846E-1,-4.292280227E-2,4.334529042E-1
3.768714583E0,-3.687056005E-1,8.455286920E-2,3.177947998E-1
3.788828583E0,-2.555737495E-1,1.939580888E-1,1.731820554E-1
3.808942583E0,-1.719868630E-1,1.494559944E-1,7.315545529E-2
3.829057583E0,-1.977671981E-1,-1.662002131E-2,8.022487909E-2
3.849171583E0,-2.901424170E-1,-3.076060861E-2,1.797327995E-1
3.869285583E0,-3.761169612E-1,9.247568250E-2,2.894170284E-1
3.889400583E0,-4.128227830E-1,2.340353727E-1,3.345279992E-1
3.909514583E0,-4.091545641E-1,2.614086568E-1,2.803251743E-1
3.929628583E0,-3.453276455E-1,2.245739698E-1,1.259710044E-1
3.949743583E0,-1.381181926E-1,5.476050377E-1,-3.045944870E-1
3.969857583E0,9.808286279E-2,8.688716292E-1,-9.172252417E-1
3.989971583E0,3.598540425E-1,-1.101991981E-1,-7.594450712E-1
4.010085583E0,2.704715431E-1,-8.326032162E-1,-3.447381258E-1
4.030200583E0,6.581945717E-2,-7.736728787E-1,1.707026735E-2
4.050312083E0,-1.700401008E-1,-5.349002481E-1,1.927771568E-1
4.070426083E0,-4.363405406E-1,-7.035954297E-2,2.090771943E-1
4.090541083E0,-6.897100806E-1,4.285149574E-1,1.562935412E-1
4.110655083E0,-7.835427523E-1,6.461541653E-1,3.155360371E-2
4.130769083E0,-5.976927280E-1,4.647531509E-1,-7.124423236E-2
4.150883083E0,-2.358744293E-1,1.936542988E-2,2.340837941E-2
4.170998083E0,1.199634299E-1,-2.847272158E-1,1.581234485E-1
4.191112083E0,3.378836811E-1,-3.788433671E-1,2.278881222E-1
4.211226083E0,4.397072494E-1,-2.567632496E-1,2.753533721E-1
4.231341083E0,5.285500884E-1,-6.410003453E-2,2.097272426E-1
4.251455083E0,6.226385236E-1,1.022869796E-1,8.836742491E-2
4.271569083E0,7.090567946E-1,1.998266876E-1,-6.488859653E-2
4.291683083E0,7.626243234E-1,1.583112776E-1,-1.962484419E-1
4.311798083E0,7.823277712E-1,3.985360265E-2,-2.630786002E-1
4.331912083E0,7.705059648E-1,-5.539067090E-3,-2.825810909E-1
4.352026083E0,7.406712174E-1,6.846037507E-2,-2.710615695E-1
4.372140083E0,6.813398004E-1,1.388677061E-1,-2.529083490E-1
4.392255083E0,6.096810102E-1,1.207117736E-1,-2.718871832E-1
4.412369083E0,5.493994951E-1,6.659562886E-2,-3.494224250E-1
4.432483083E0,5.313593745E-1,1.190214790E-2,-4.387356639E-1
4.452597083E0,5.525898337E-1,-2.176393569E-2,-4.599288404E-1
4.472712083E0,5.716155171E-1,-8.823353052E-2,-4.011835754E-1
4.492826083E0,5.595776439E-1,-1.195806935E-1,-2.605962157E-1
4.512940083E0,5.027499795E-1,-1.318138242E-1,-9.348493069E-2
4.533054083E0,4.011413455E-1,-1.575159132E-1,3.177402169E-2
4.553168083E0,2.896851897E-1,-2.165352106E-1,5.943398550E-2
4.573283083E0,1.970555633E-1,-2.596705854E-1,3.207984264E-6
4.593397083E0,9.571895003E-2,-2.626241446E-1,-1.646708250E-1
4.613511083E0,-1.264764462E-2,-6.386121362E-2,-2.889674306E-1
4.633625083E0,-1.777421534E-1,2.685153782E-1,-1.360636801E-1
4.653739083E0,-2.451506257E-1,2.884790599E-1,3.220118880E-1
4.673854083E0,-2.928046286E-1,3.057689369E-1,6.139841676E-1
4.693968083E0,-1.294329911E-1,3.564009368E-1,6.955370307E-1
4.714082083E0,1.863919385E-2,3.539113700E-1,5.631232858E-1
4.734196083E0,1.353380978E-1,2.798542082E-1,2.865931690E-1
4.754310083E0,3.228642046E-1,3.685685992E-2,6.265232340E-3
4.774425083E0,5.998230577E-1,-2.121410668E-1,-2.500880957E-1
4.794539083E0,8.066746593E-1,-4.050811231E-1,-4.016574919E-1
4.814653083E0,8.058392406E-1,-4.928824902E-1,-4.182837903E-1
4.834767083E0,4.957872033E-1,-3.506302238E-1,-3.152212799E-1
4.854881083E0,7.854308933E-2,-1.483628452E-1,-1.749368757E-1
4.874995083E0,-2.403465360E-1,-1.796723902E-2,-7.064849138E-2
4.895110083E0,-4.114504158E-1,2.837567404E-2,-7.366914302E-2
4.915224083E0,-4.241567254E-1,4.869744182E-2,-1.307971776E-1
4.935338083E0,-3.317834735E-1,6.083955616E-2,-1.674819887E-1
4.955452083E0,-2.526323497E-1,6.992587447E-2,-1.796868443E-1
4.975566083E0,-2.418355942E-1,7.856498659E-2,-1.352950484E-1
4.995680083E0,-3.110417724E-1,5.506522954E-2,-3.048587218E-2
5.015795083E0,-3.890593350E-1,1.690907171E-3,1.480375230E-1
5.035909083E0,-4.654991627E-1,4.542968422E-2,2.868492603E-1
5.056021667E0,-5.041309595E-1,1.501212418E-1,3.244986236E-1
5.076135667E0,-5.021873713E-1,2.603979111E-1,2.791742682E-1
5.096249667E0,-4.563421607E-1,3.616547585E-1,1.726800650E-1
5.116363667E0,-3.832684159E-1,3.040743768E-1,6.578273326E-2
5.136477667E0,-2.973695993E-1,1.032828093E-1,1.415344607E-2
5.156591667E0,-2.632792294E-1,-5.170136690E-2,5.422586203E-2
5.176706667E0,-2.667579055E-1,-1.533764601E-1,1.376132518E-1
5.196820667E0,-2.930487096E-1,-1.962507665E-1,2.291377336E-1
5.216934667E0,-3.368238509E-1,-1.257271767E-1,2.845490575E-1
5.237048667E0,-3.884617388E-1,-2.656936087E-2,3.011514843E-1
5.257162667E0,-3.897746503E-1,8.369278163E-2,2.488942146E-1
5.277276667E0,-2.452069223E-1,4.913842976E-1,-6.887619197E-2
5.297390667E0,-5.617067218E-2,9.636854529E-1,-6.594403982E-1
5.317504667E0,1.352781653E-1,1.295032799E-1,-7.274336219E-1
5.337619667E0,2.074860930E-1,-8.884463310E-1,-4.021079242E-1
5.357733667E0,1.214550734E-1,-7.868773341E-1,-6.791049987E-2
5.377847667E0,-8.806349337E-2,-4.436277449E-1,7.801591605E-2
5.397961667E0,-3.211802840E-1,-2.751281559E-1,1.070127189E-1
5.418075667E0,-5.393038988E-1,1.144751534E-2,1.412988752E-1
5.438189667E0,-7.560693622E-1,2.628335953E-1,1.273081005E-1
5.458303667E0,-9.202257991E-1,3.522750735E-1,1.414761096E-1
5.478417667E0,-9.405935407E-1,2.028143555E-1,2.207905203E-1
5.498531667E0,-8.315083385E-1,-4.045890272E-2,3.135778606E-1
5.518645667E0,-6.105908751E-1,-6.251822412E-2,3.626720011E-1
5.538759667E0,-3.767981231E-1,8.412849158E-3,4.219054282E-1
5.558873667E0,-2.221722156E-1,5.896284059E-2,4.438001215E-1
5.578987667E0,-1.000319421E-1,8.954768628E-2,3.835977614E-1
5.599102667E0,3.241658211E-2,1.426210552E-1,2.619757652E-1
5.619216667E0,1.862135977E-1,2.030734718E-1,1.198327541E-1
5.639330667E0,3.458046317E-1,1.572678536E-1,-2.602097765E-2
5.659444667E0,5.001583099E-1,8.907863870E-3,-1.084421575E-1
5.679558667E0,5.642749667E-1,-7.887598127E-2,-1.235039383E-1
5.699672667E0,5.684069991E-1,-5.135238916E-2,-1.258878559E-1
5.719786667E0,5.164470673E-1,2.288809605E-2,-1.573357135E-1
5.739900667E0,4.701718688E-1,8.219803870E-2,-2.283246815E-1
5.760014667E0,4.912326932E-1,6.909620017E-2,-3.406543136E-1
5.780128667E0,5.774294734E-1,-1.259532943E-2,-4.289818704E-1
5.800242667E0,6.539794803E-1,-8.382028341E-2,-4.693564773E-1
5.820356667E0,6.573018432E-1,-1.111326218E-1,-4.473079741E-1
5.840470667E0,5.810296535E-1,-1.301298290E-1,-3.579167426E-1
5.860584667E0,4.824104011E-1,-1.842060238E-1,-2.360838801E-1
5.880698667E0,3.682800233E-1,-2.377627939E-1,-1.247635782E-1
5.900812667E0,2.232241184E-1,-1.993398517E-1,-5.071818456E-2
5.920926667E0,7.522232085E-2,-5.610026792E-2,-3.728324175E-2
5.941040667E0,-3.415802866E-2,5.245526135E-2,-5.803001300E-2
5.961154667E0,-9.752956033E-2,3.884715587E-2,-9.805195034E-2
5.981268667E0,-1.609142125E-1,2.093010955E-2,-8.328798413E-2
6.001382667E0,-3.064864576E-1,2.646038122E-2,1.829691678E-1
6.021496667E0,-3.987281621E-1,-1.781794727E-1,6.392997503E-1
6.041610667E0,-4.417210817E-1,-3.007093966E-1,8.710445762E-1
6.061725458E0,-3.715455234E-1,6.426423788E-2,8.753324151E-1
6.081839458E0,-3.082070649E-1,4.992066026E-1,6.682729125E-1
6.101953458E0,-1.639143974E-1,4.634025395E-1,2.904266715E-1
6.122067458E0,1.968574710E-2,-1.413685363E-2,-5.784784257E-2
6.142181458E0,3.127883673E-1,-3.658145666E-1,-2.434587926E-1
6.162295458E0,5.384808183E-1,-5.181206465E-1,-2.214186490E-1
6.182409458E0,5.270700455E-1,-5.834130645E-1,-1.181762442E-1
6.202523458E0,3.042929471E-1,-4.253068566E-1,-2.727207914E-2
6.222637458E0,-1.226692051E-1,-2.391822338E-1,5.091028661E-2
6.242751458E0,-5.545073152E-1,-1.812710911E-1,1.002727523E-1
6.262865458E0,-8.550771475E-1,-1.748668253E-1,7.179757953E-2
6.282979458E0,-1.007933497E0,-1.455293596E-1,2.905228175E-2
6.303093458E0,-1.053155541E0,-7.254530489E-2,6.178428233E-2
6.323207458E0,-1.098727584E0,-8.688894100E-3,1.287852973E-1
6.343321458E0,-1.174709439E0,3.320928663E-2,2.077675611E-1
6.363435458E0,-1.295418739E0,6.484764628E-3,3.122264743E-1
6.383549458E0,-1.341828942E0,-2.054071277E-1,4.601470530E-1
6.403663458E0,-1.321388125E0,-3.097755313E-1,5.731131434E-1
6.423777458E0,-1.200025082E0,-1.538406610E-1,6.135451198E-1
6.443891458E0,-1.017814398E0,6.825410575E-2,5.299867392E-1
6.464005458E0,-7.869412303E-1,2.896611989E-1,3.236552477E-1
6.484118458E0,-5.899800062E-1,2.360370755E-1,1.665353328E-1
6.504232458E0,-4.879257679E-1,-8.585175127E-2,1.305663735E-1
6.524346458E0,-4.652594030E-1,-2.952384651E-1,2.237688452E-1
6.544460458E0,-4.979411066E-1,-2.593372166E-1,3.689834177E-1
6.564574458E0,-5.678841472E-1,-7.681342959E-2,5.000841022E-1
6.584688458E0,-6.446911097E-1,1.608445793E-1,5.453701615E-1
6.604802458E0,-7.151917219E-1,2.488203794E-1,4.829407036E-1
6.624916458E0,-5.326912403E-1,4.286978245E-1,1.668351442E-1
6.645030458E0,-3.400656581E-1,1.134640098E0,-3.994649947E-1
6.665144458E0,-1.714423746E-1,7.330321074E-1,-6.418207884E-1
6.685258458E0,-1.386933476E-1,-3.229934573E-1,-3.437267244E-1
6.705372458E0,-2.782956362E-1,-4.498320520E-1,-1.121657416E-1
6.725485458E0,-5.161140561E-1,-4.303909242E-1,6.071354076E-2
6.745599458E0,-6.950821877E-1,-4.238278270E-1,1.832889915E-1
6.765713458E0,-8.792793751E-1,8.169282228E-3,2.543115914E-1
6.785827458E0,-1.038607001E0,5.109294057E-1,2.735000253E-1
6.805941458E0,-1.047482610E0,6.624377370E-1,2.118890285E-1
6.826055458E0,-8.650401235E-1,4.674795568E-1,1.773685515E-1
6.846169458E0,-5.870255232E-1,1.991019994E-1,2.418663651E-1
6.866283458E0,-2.929684520E-1,5.055189133E-3,2.699414790E-1
6.886397458E0,-7.968054712E-2,-1.389266402E-1,2.536772490E-1
6.906510458E0,2.679839544E-2,-8.081142604E-2,2.667874396E-1
6.926624458E0,1.005032584E-1,4.320207611E-2,1.826564372E-1
6.946738458E0,1.781556755E-1,1.437962949E-1,1.064928919E-1
6.966852458E0,2.475207746E-1,1.976005882E-1,6.513310224E-2
6.986966458E0,3.182455599E-1,1.995411366E-1,-2.123754937E-3
7.007080458E0,3.816377223E-1,1.277592331E-1,-6.037324294E-2
7.027194458E0,3.964104652E-1,7.782379538E-2,-7.610899210E-2
7.047308458E0,3.588639498E-1,8.440336585E-2,-7.729642093E-2
7.067421042E0,3.092932999E-1,6.292597204E-2,-1.247702092E-1
7.087535042E0,2.883185744E-1,2.097523212E-2,-2.042587101E-1
7.107649042E0,3.188221455E-1,6.015698984E-2,-2.689005733E-1
7.127763042E0,3.778593540E-1,1.479395330E-1,-3.027912378E-1
7.147877042E0,4.296832979E-1,1.800659001E-1,-2.892483473E-1
7.167991042E0,4.864748120E-1,1.034109443E-1,-2.664278150E-1
7.188105042E0,5.336380005E-1,1.136893407E-4,-2.325153798E-1
7.208218042E0,5.590409636E-1,-1.061881557E-1,-1.937178373E-1
7.228332042E0,5.570585132E-1,-2.136522084E-1,-1.692271531E-1
7.248446042E0,5.364277959E-1,-3.015557230E-1,-1.310968101E-1
7.268560042E0,5.032515526E-1,-3.855405748E-1,-8.077713847E-2
7.288674042E0,4.227961898E-1,-4.915569723E-1,-2.951405942E-2
7.308788042E0,3.036708236E-1,-4.299805760E-1,-4.517721385E-2
7.328901042E0,9.138999134E-2,-1.262782887E-2,5.950045958E-2
7.349015042E0,-4.050458316E-3,2.410301566E-1,3.849112093E-1
7.369129042E0,-8.692491800E-2,1.165248081E-1,6.774714589E-1
7.389243042E0,-2.642992139E-2,1.194563881E-1,6.797361374E-1
7.409357042E0,1.013870910E-1,1.012399271E-1,4.852739573E-1
7.429470042E0,1.727591753E-1,6.586484611E-2,2.417666018E-1
7.449584042E0,2.916933596E-1,-9.532241523E-2,1.373379584E-2
7.469698042E0,4.927416146E-1,-1.798875779E-1,-2.692890167E-1
7.489812042E0,6.246919632E-1,-2.799270749E-1,-4.839789569E-1
7.509926042E0,5.403524041E-1,-3.468192220E-1,-4.452959895E-1
7.530039042E0,1.264472753E-1,-2.250407934E-1,-2.565056384E-1
7.550153042E0,-2.329109013E-1,-9.207274765E-2,-5.449482426E-2
7.570267042E0,-4.420788586E-1,-1.094545051E-2,2.536873333E-2
7.590381042E0,-4.970035851E-1,5.795880035E-2,-4.253103584E-2
7.610495042E0,-4.162850976E-1,1.081228703E-1,-1.560929865E-1
